93	张家口	合肥	1153.154	19.21923333	16.47362857	14.414425
94	合肥	张家口	1149.653	19.16088333	16.42361429	14.3706625
95	张家口	南京	1160.768	19.34613333	16.5824	14.5096
96	南京	张家口	1158.011	19.30018333	16.54301429	14.4751375
97	张家口	镇江	1186.432	19.77386667	16.94902857	14.8304
98	镇江	张家口	1182.821	19.71368333	16.89744286	14.7852625
99	张家口	常州	1238.941	20.64901667	17.69915714	15.4867625
100	常州	张家口	1242.648	20.7108	17.75211429	15.5331
101	张家口	无锡	1288.801	21.48001667	18.41144286	16.1100125
102	无锡	张家口	1284.412	21.40686667	18.34874286	16.05515
103	张家口	苏州	1319.087	21.98478333	18.8441	16.4885875
104	苏州	张家口	1313.651	21.89418333	18.76644286	16.4206375
105	张家口	上海	1367.15	22.78583333	19.53071429	17.089375
106	上海	张家口	1366.076	22.76793333	19.51537143	17.07595
107	张家口	杭州	1427.698	23.79496667	20.39568571	17.846225
108	杭州	张家口	1423.986	23.7331	20.34265714	17.799825
109	张家口	宁波	1527.93	25.4655	21.82757143	19.099125
110	宁波	张家口	1522.226	25.37043333	21.74608571	19.027825
111	承德	徐州	862.046	14.36743333	12.31494286	10.775575
112	徐州	承德	860.509	14.34181667	12.29298571	10.7563625
113	承德	合肥	1162.389	19.37315	16.60555714	14.5298625
114	合肥	承德	1160.332	19.33886667	16.57617143	14.50415
115	承德	南京	1131.061	18.85101667	16.15801429	14.1382625
116	南京	承德	1130.617	18.84361667	16.15167143	14.1327125
117	承德	镇江	1138.411	18.97351667	16.26301429	14.2301375
118	镇江	承德	1138.257	18.97095	16.26081429	14.2282125
119	承德	常州	1187.656	19.79426667	16.96651429	14.8457
120	常州	承德	1195.117	19.91861667	17.0731	14.9389625
121	承德	无锡	1237.516	20.62526667	17.6788	15.46895
122	无锡	承德	1236.881	20.61468333	17.66972857	15.4610125
123	承德	苏州	1267.802	21.13003333	18.11145714	15.847525
124	苏州	承德	1266.12	21.102	18.08742857	15.8265
125	承德	上海	1304.718	21.7453	18.63882857	16.308975
126	上海	承德	1305.492	21.7582	18.64988571	16.31865
127	承德	杭州	1379.677	22.99461667	19.70967143	17.2459625
128	杭州	承德	1379.422	22.99036667	19.70602857	17.242775
129	承德	宁波	1472.618	24.54363333	21.0374	18.407725
130	宁波	承德	1473.211	24.55351667	21.04587143	18.4151375
131	承德	张家口	351.237	5.85395	5.017671429	4.3904625
132	张家口	承德	354.531	5.90885	5.064728571	4.4316375
133	北京	徐州	693.88	11.56466667	9.912571429	8.6735
134	徐州	北京	695.006	11.58343333	9.928657143	8.687575
135	北京	合肥	991.592	16.52653333	14.1656	12.3949
136	合肥	北京	991.521	16.52535	14.16458571	12.3940125
137	北京	南京	995.414	16.59023333	14.2202	12.442675
138	南京	北京	996.677	16.61128333	14.23824286	12.4584625
139	北京	镇江	1005.076	16.75126667	14.35822857	12.56345
140	镇江	北京	1005.482	16.75803333	14.36402857	12.568525
141	北京	常州	1054.321	17.57201667	15.06172857	13.1790125
142	常州	北京	1062.342	17.7057	15.17631429	13.279275
143	北京	无锡	1104.181	18.40301667	15.77401429	13.8022625
144	无锡	北京	1104.106	18.40176667	15.77294286	13.801325
145	北京	苏州	1134.467	18.90778333	16.20667143	14.1808375
146	苏州	北京	1133.345	18.88908333	16.19064286	14.1668125
147	北京	上海	1171.383	19.52305	16.73404286	14.6422875
148	上海	北京	1172.717	19.54528333	16.7531	14.6589625
149	北京	杭州	1246.342	20.77236667	17.80488571	15.579275
150	杭州	北京	1246.647	20.77745	17.80924286	15.5830875
151	北京	宁波	1339.283	22.32138333	19.13261429	16.7410375
152	宁波	北京	1340.436	22.3406	19.14908571	16.75545
153	北京	张家口	193.189	3.219816667	2.759842857	2.4148625
154	张家口	北京	196.126	3.268766667	2.8018	2.451575
155	北京	承德	208.777	3.479616667	2.982528571	2.6097125
156	承德	北京	208.62	3.477	2.980285714	2.60775
157	唐山	徐州	689.318	11.48863333	9.8474	8.616475
158	徐州	唐山	688.66	11.47766667	9.838	8.60825
159	唐山	合肥	988.839	16.48065	14.12627143	12.3604875
160	合肥	唐山	988.175	16.46958333	14.11678571	12.3521875
161	唐山	南京	955.416	15.9236	13.6488	11.9427
162	南京	唐山	954.874	15.91456667	13.64105714	11.935925
163	唐山	镇江	962.766	16.0461	13.7538	12.034575
164	镇江	唐山	962.514	16.0419	13.7502	12.031425
165	唐山	常州	1012.011	16.86685	14.4573	12.6501375
166	常州	唐山	1019.374	16.98956667	14.56248571	12.742175
167	唐山	无锡	1061.871	17.69785	15.16958571	13.2733875
168	无锡	唐山	1061.138	17.68563333	15.15911429	13.264225
169	唐山	苏州	1092.157	18.20261667	15.60224286	13.6519625
